W,P,T,G,H,Kc_mean,vp_std,ohmic_loss_mean,S11_max,S21_mean,bandwidth_estimate,sim_time,success,failure_reason,raw_files,metadata,Kc_TM21_mean,sync_error,vp_TM21_std,mode_ratio,f_TM21_ghz,f_fund_ghz,stage,problem_name,is_feasible,neg_Kc_mean
3.260891176159228,0.8270905193625974,0.31856268867206683,0.2759673154186566,0.4809245350370382,4.420091819365837,0.06027098396005365,0.11607113108542833,-18.427116758614073,-2.1195273325163564,10.68509588219705,0.00015620000000016177,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': []}",4.420091819365837,0.06027098396005365,0.01436787172840052,1.415141206681743,98.23019845476978,92.9308350706198,initial,DSG_W_Band_BWO,True,-4.420091819365837
3.3428851444221563,0.8994139604878981,0.29608436828291596,0.204692976815274,0.4631015216769709,5.742240355739815,0.18,0.11024095000870748,-18.37751102939832,-1.7774278350481418,4.1,9.760000000014202e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': []}",5.742240355739815,0.18,0.025171902265988404,1.3377933484776863,81.58297391842497,76.89419116786559,initial,DSG_W_Band_BWO,True,-5.742240355739815
2.8102490906140436,0.737862422426444,0.3940566519042852,0.1880531225583954,0.6364375401845859,5.018621054983441,0.18,0.0888339360182623,-16.881577723537617,-1.4410358076421539,3.7889025089532473,8.659999999993673e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['mode_competition_risk']}",5.018621054983441,0.18,0.01700831981224971,1.0444512544766238,116.47940212416913,112.27191505120268,initial,DSG_W_Band_BWO,True,-5.018621054983441
3.3960308750316455,0.8155676699414752,0.335868734539702,0.2902604839596901,0.5822558593117391,5.737525283602634,0.07187879740669367,0.10101660041697821,-17.724420243518566,-1.9699445091694285,10.046666142631848,7.779999999968368e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['manufacturing_risk']}",5.737525283602634,0.07187879740669367,0.012320413645106231,1.5104468986208308,102.26942982569723,95.55092114715272,initial,DSG_W_Band_BWO,True,-5.737525283602634
3.069663841938606,0.7838927741570394,0.23498820752904107,0.16623734152715208,0.7456020921980451,7.357611833329251,0.13881796116584075,0.12602955364250745,-18.495835351457078,-2.1556229246086693,6.365012135878759,9.729999999974481e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['structure_height_high', 'beam_tunnel_narrow', 'mode_competition_risk', 'manufacturing_risk']}",7.357611833329251,0.13881796116584075,0.013857482968196083,1.412828612271178,94.90685467375182,87.6932370400875,initial,DSG_W_Band_BWO,True,-7.357611833329251
3.034141199107888,0.7093344200745406,0.3586047718360405,0.24851634596629782,0.6070181845759602,5.418463577092186,0.18,0.08905068012491577,-17.796891529541323,-1.511431107139148,3.760671824147874,8.110000000005613e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': []}",5.418463577092186,0.18,0.02540606352914046,1.030335912073937,123.9856674468515,120.02117854612302,initial,DSG_W_Band_BWO,True,-5.418463577092186
3.171509209606453,0.8608760753157445,0.36962259954487675,0.21206154132364752,0.691749082250672,6.4061393872603505,0.18,0.09865073208484844,-14.935268488486022,-1.6800517323515218,4.1,0.00010259999999995273,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['structure_height_high']}",6.4061393872603505,0.18,0.013656621356180898,1.3273467374345238,88.96465910133556,82.73796486062092,initial,DSG_W_Band_BWO,True,-6.4061393872603505
3.5858209290616667,0.843085789841351,0.2529806764251136,0.1500312533122285,0.6684415167606599,7.087064891542661,0.18,0.1056191002773498,-18.746816094360145,-1.816179511697435,4.1,8.81000000001464e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['mode_competition_risk']}",7.087064891542661,0.18,0.012621988951979256,1.452745553772889,85.20511728241843,76.14286860442559,initial,DSG_W_Band_BWO,True,-7.087064891542661
2.9154731359061863,0.7736609790648491,0.27048575843494244,0.1284797317105764,0.5188078127330005,6.778454492505248,0.06687757118970926,0.11316812543669082,-16.609913402326676,-2.1111656446436418,10.32173358456599,7.939999999972969e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': ['mode_competition_risk', 'manufacturing_risk']}",6.778454492505248,0.06687757118970926,0.014982156183586306,1.2330751100558048,102.08958849218182,96.75066846736233,initial,DSG_W_Band_BWO,True,-6.778454492505248
3.458179097742782,0.7548952431181564,0.28097461082254316,0.23817424991666142,0.5598574954418069,5.613424049813487,0.18,0.09344025480646675,-17.818919403446383,-1.5625065181167037,4.1,7.960000000029055e-05,True,,,"{'backend': 'mock_dsg', 'geometry_warnings': []}",5.613424049813487,0.18,0.014363469271027203,1.3534733840924877,112.59362141248346,105.81764603216664,initial,DSG_W_Band_BWO,True,-5.613424049813487
